reservoir_name,basin,agency_name,latest_date,storage,level,storage_percentage,full_reservoir_level,live_capacity_frl
ATAL SAGAR(MADIKHEDA),Ganga Basin,CWC,06.08.2026,0.489,339.700,58.52,346.250,0.835
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,06.08.2026,0.000,300.990,0.00,320.040,0.095
Almatti Reservoir,Krishna Basin,CWC,06.08.2026,2.596,518.770,83.61,519.600,3.105
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,CWC,06.08.2026,0.330,72.350,97.29,72.600,0.339
BHAMA ASKHED,Krishna Basin,CWC,06.08.2026,0.214,670.430,98.71,671.500,0.217
Balimela Reservoir,Godavari Basin,CWC,06.08.2026,0.469,445.070,17.53,462.080,2.676
Ban Sagar,Ganga Basin,CWC,06.08.2026,2.844,336.000,55.05,341.640,5.166
Bargi\Rani Avanti Bai Sagar,Narmada Basin,CWC,06.08.2026,1.493,415.750,46.95,422.760,3.180
Barna,Narmada Basin,CWC,06.08.2026,0.177,343.910,38.82,348.550,0.456
Bhadar Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,06.08.2026,0.046,103.230,24.35,107.890,0.188
Bhadra Reservoir,Krishna Basin,CWC,06.08.2026,1.008,651.864,56.44,657.760,1.785
Bhandardara,Godavari Basin,CWC,06.08.2026,0.295,744.360,97.07,744.910,0.304
Bhatghar,Krishna Basin,CWC,06.08.2026,0.673,623.280,100.00,623.280,0.673
Bhatsa,West flowing rivers from Tapi to Tadri Basin,CWC,06.08.2026,0.844,138.400,89.57,142.070,0.942
Bhima\Ujjani Reservoir,Krishna Basin,CWC,06.08.2026,1.499,496.775,98.80,496.830,1.517
Bisalpur,Ganga Basin,CWC,06.08.2026,0.715,313.560,66.45,352.810,1.076
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,06.08.2026,0.056,64.620,79.28,64.620,0.071
CHANDAN DAM,Ganga Basin,CWC,06.08.2026,0.012,142.646,8.78,152.390,0.136
CHASKAMAN,Krishna Basin,CWC,06.08.2026,0.215,649.530,99.77,649.530,0.215
DARNA DAM,Godavari Basin,CWC,06.08.2026,0.177,570.570,87.62,571.500,0.202
DIMBHE DAM,Krishna Basin,CWC,06.08.2026,0.337,718.130,95.22,719.145,0.354
DONKARAYI,Godavari Basin,CWC,06.08.2026,0.260,311.414,69.23,316.080,0.376
Damanganga Reservoir,West flowing rivers from Tapi to Tadri Basin,CWC,06.08.2026,0.258,74.450,51.31,79.860,0.502
Dantiwada Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,06.08.2026,0.099,173.860,24.76,184.100,0.399
Dhom,Krishna Basin,CWC,06.08.2026,0.291,745.940,87.92,747.700,0.331
Doyang Hep,Brahamaputra Basin,CWC,06.08.2026,0.369,322.950,68.97,333.000,0.535
Dudhawa,Mahanadi Basin,CWC,06.08.2026,0.252,424.300,88.76,425.100,0.284
Dudhganga,Krishna Basin,CWC,06.08.2026,0.538,641.660,80.97,646.000,0.664
GETALSUD,Subernarekha,CWC,06.08.2026,0.150,587.900,68.79,590.060,0.218
Gandhi Sagar,Ganga Basin,CWC,06.08.2026,4.255,395.710,62.33,399.900,6.827
Gerusoppa Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,06.08.2026,0.106,50.490,81.54,55.000,0.130
GhatPrabha\Hidkal Reservoir,Krishna Basin,CWC,06.08.2026,1.117,660.054,80.31,662.950,1.391
Girna Reservoir,Tapi Basin,CWC,06.08.2026,0.519,398.000,99.01,398.070,0.524
Gobind Sagar-Bhakra Reservoir,Indus (Up to border) Basin,CWC,06.08.2026,2.662,490.286,42.73,512.000,6.229
Gumti Reservoir,Barak and Others Basin,CWC,06.08.2026,0.278,92.800,89.10,93.550,0.312
HARIHARJHOR,Mahanadi Basin,CWC,06.08.2026,0.051,146.020,86.37,147.500,0.059
Harangi Reservoir,Cauvery Basin,CWC,06.08.2026,0.211,871.164,95.91,871.420,0.220
Hathmati,Sabarmati Basin,CWC,06.08.2026,0.094,178.840,61.53,180.740,0.153
Hemavathy Reservoir,Cauvery Basin,CWC,06.08.2026,0.706,887.992,76.16,890.630,0.927
Hirakud Reservoir,Mahanadi Basin,CWC,06.08.2026,2.211,187.280,41.11,192.020,5.378
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,06.08.2026,0.519,150.141,50.98,169.000,1.018
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,06.08.2026,0.660,716.414,45.20,732.430,1.460
Indira Sagar,Narmada Basin,CWC,06.08.2026,3.073,252.340,31.53,262.130,9.745
Isapur Reservoir,Godavari Basin,CWC,06.08.2026,0.600,437.080,62.13,441.000,0.965
JAISAMAND,Mahi Basin,CWC,06.08.2026,0.112,291.240,37.73,295.540,0.296
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,06.08.2026,0.041,303.850,21.24,313.400,0.193
Jayakwadi\Nath Sagar,Godavari Basin,CWC,06.08.2026,2.019,463.515,93.01,463.910,2.171
Jhakam Reservoir,Mahi Basin,CWC,06.08.2026,0.068,350.650,51.70,359.500,0.132
Jirgo Dam,Ganga Basin,CWC,06.08.2026,0.099,29.179,67.51,98.200,0.147
KADDAM (K.N.R.),Godavari Basin,CWC,06.08.2026,0.049,213.284,35.96,213.360,0.137
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,06.08.2026,0.561,73.201,31.31,85.000,1.792
Kabini Reservoir,Cauvery Basin,CWC,06.08.2026,0.407,695.551,91.67,696.160,0.444
Kadana Reservoir,Mahi Basin,CWC,06.08.2026,0.577,120.700,39.17,127.700,1.472
Kakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,06.08.2026,0.241,966.594,53.91,981.460,0.447
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,06.08.2026,0.252,104.269,49.70,115.820,0.507
Kanher Dam,Krishna Basin,CWC,06.08.2026,0.254,689.800,93.37,690.780,0.272
Karjan Reservoir,Narmada Basin,CWC,06.08.2026,0.344,108.830,65.84,115.250,0.523
Khadakwasla Reservoir,Krishna Basin,CWC,06.08.2026,0.056,582.470,99.84,582.470,0.056
Kolar,Narmada Basin,CWC,06.08.2026,0.157,455.620,58.08,462.200,0.270
Koyana/Shivaji Sagar,Krishna Basin,CWC,06.08.2026,2.480,656.460,93.51,657.900,2.652
Krishnaraja Sagar,Cauvery Basin,CWC,06.08.2026,0.549,746.729,47.21,752.500,1.163
Lower Bhawani \ Bhavanisagar Reservoir,Cauvery Basin,CWC,06.08.2026,0.188,266.087,23.74,278.890,0.792
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,06.08.2026,0.162,271.043,26.10,280.420,0.621
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,06.08.2026,0.088,207.020,28.58,210.312,0.309
MAUDAHA,Ganga Basin,CWC,06.08.2026,0.047,143.150,26.26,147.800,0.179
MEJA,Ganga Basin,CWC,06.08.2026,0.205,52.898,68.65,178.000,0.299
MUSI PROJECT,Krishna Basin,CWC,06.08.2026,0.079,194.680,64.23,196.600,0.123
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,06.08.2026,0.037,132.870,52.48,135.330,0.071
Machhu II,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,06.08.2026,0.084,57.300,92.42,57.300,0.091
Machkund\Jalaput Reservoir,Godavari Basin,CWC,06.08.2026,0.299,829.040,33.44,838.160,0.893
Mahanadi\Ravishankar Sagar,Mahanadi Basin,CWC,06.08.2026,0.611,346.990,79.70,348.700,0.767
Mahi Bajaj Sagar,Mahi Basin,CWC,06.08.2026,0.769,272.000,44.92,280.750,1.711
Malampuzha,West flowing rivers from Tadri to Kanyakumari Basin,CWC,06.08.2026,0.086,107.730,38.39,115.060,0.224
Malaprabha Reservoir,Krishna Basin,CWC,06.08.2026,0.332,628.726,34.20,633.830,0.972
Manikdoh,Krishna Basin,CWC,06.08.2026,0.207,706.410,71.86,711.250,0.288
Matatila Reservoir,Ganga Basin,CWC,06.08.2026,0.186,303.400,26.24,308.460,0.707
Mettur Reservoir,Cauvery Basin,CWC,06.08.2026,1.069,227.271,40.38,240.790,2.647
Minimata Bangoi\Hasdeo Reservoir,Mahanadi Basin,CWC,06.08.2026,2.460,357.100,80.77,359.660,3.046
